1	chr1
AADN04008395.1	chrUn_NT_469297v1
AADN04008394.1	chrUn_NT_469296v1
AADN04008534.1	chr2_NT_458145v1_random
AADN04008397.1	chrUn_NT_469299v1
AADN04008452.1	chr3_NT_459166v1_random
AADN04008400.1	chrUn_NT_469300v1
AADN04008481.1	chr7_NT_461118v1_random
AADN04008518.1	chr3_NT_459167v1_random
AADN04008403.1	chrUn_NT_469303v1
AADN04008417.1	chrUn_NT_469312v1
AADN04008439.1	chr9_NT_461604v1_random
AADN04008401.1	chrUn_NT_469301v1
AADN04008406.1	chrUn_NT_469304v1
AADN04008408.1	chrUn_NT_469306v1
AADN04008409.1	chrUn_NT_469307v1
AADN04008460.1	chr4_NT_459922v1_random
AADN04008407.1	chrUn_NT_469305v1
AADN04008412.1	chrUn_NT_469309v1
AADN04008420.1	chrUn_NT_469314v1
AADN04008413.1	chrUn_NT_469310v1
AADN04008414.1	chrUn_NT_469311v1
KQ759662.1	chrUn_NT_469315v1
AADN04008569.1	chr4_NT_459929v1_random
AADN04008419.1	chrUn_NT_469313v1
AADN04008437.1	chrUn_NT_469325v1
AADN04008564.1	chr1_NT_456557v1_random
AADN04008422.1	chrZ_NT_463929v1_random
AADN04008425.1	chrUn_NT_469316v1
AADN04008427.1	chrUn_NT_469317v1
AADN04008447.1	chr12_NT_462077v1_random
AADN04008506.1	chr19_NT_462739v1_random
AADN04008411.1	chrUn_NT_469308v1
AADN04008431.1	chrUn_NT_469321v1
AADN04008432.1	chrUn_NT_469322v1
AADN04008429.1	chrUn_NT_469319v1
AADN04008430.1	chrUn_NT_469320v1
AADN04008433.1	chrUn_NT_469323v1
AADN04008565.1	chr6_NT_460895v1_random
AADN04008434.1	chrUn_NT_469324v1
AADN04008577.1	chr1_NT_456558v1_random
AADN04008435.1	chr1_NT_456551v1_random
AADN04008438.1	chrUn_NT_469326v1
AADN04008440.1	chrUn_NT_469327v1
AADN04008428.1	chrUn_NT_469318v1
AADN04008442.1	chrUn_NT_469328v1
AADN04008444.1	chrUn_NT_469329v1
AADN04008541.1	chr9_NT_461606v1_random
AADN04008599.1	chr2_NT_458150v1_random
AADN04008448.1	chrUn_NT_469330v1
AADN04008449.1	chrUn_NT_469331v1
AADN04008450.1	chrUn_NT_469332v1
AADN04008451.1	chrUn_NT_469333v1
AADN04008482.1	chr4_NT_459924v1_random
AADN04008567.1	chr11_NT_461920v1_random
AADN04008454.1	chrUn_NT_469334v1
AADN04008455.1	chrUn_NT_469335v1
AADN04008456.1	chr2_NT_458141v1_random
AADN04008459.1	chrUn_NT_469336v1
AADN04008463.1	chrUn_NT_469338v1
AADN04008547.1	chr4_NT_459926v1_random
AADN04008566.1	chr9_NT_461607v1_random
AADN04008461.1	chrUn_NT_469337v1
KQ759402.1	chr3_NT_459164v1_random
AADN04008468.1	chrUn_NT_469341v1
AADN04008477.1	chrUn_NT_469350v1
AADN04008464.1	chrUn_NT_469339v1
AADN04008465.1	chrUn_NT_469340v1
AADN04008469.1	chrUn_NT_469342v1
AADN04008470.1	chrUn_NT_469343v1
AADN04008559.1	chr1_NT_456556v1_random
AADN04008471.1	chrUn_NT_469344v1
AADN04008472.1	chrUn_NT_469345v1
AADN04008473.1	chrUn_NT_469346v1
AADN04008475.1	chrUn_NT_469348v1
AADN04008474.1	chrUn_NT_469347v1
AADN04008476.1	chrUn_NT_469349v1
AADN04008525.1	chr6_NT_460894v1_random
AADN04008610.1	chr1_NT_456561v1_random
AADN04008478.1	chrUn_NT_469351v1
AADN04008479.1	chrUn_NT_469352v1
AADN04008489.1	chrUn_NT_469358v1
AADN04008483.1	chrUn_NT_469353v1
AADN04008485.1	chrUn_NT_469355v1
KQ759441.1	chr9_NT_461605v1_random
AADN04008484.1	chrUn_NT_469354v1
AADN04008486.1	chrUn_NT_469356v1
AADN04008527.1	chr11_NT_461919v1_random
AADN04008487.1	chrUn_NT_469357v1
AADN04008490.1	chrUn_NT_469359v1
AADN04008561.1	chr4_NT_459928v1_random
KQ759459.1	chr14_NT_462379v1_random
AADN04008549.1	chr3_NT_459168v1_random
AADN04008491.1	chrUn_NT_469360v1
AADN04008493.1	chrZ_NT_463931v1_random
AADN04008492.1	chrUn_NT_469361v1
AADN04008488.1	chr1_NT_456554v1_random
AADN04008495.1	chrUn_NT_469363v1
AADN04008557.1	chr4_NT_459927v1_random
AADN04008494.1	chrUn_NT_469362v1
AADN04008499.1	chrUn_NT_469364v1
AADN04008500.1	chrUn_NT_469365v1
AADN04008575.1	chr6_NT_460896v1_random
AADN04008501.1	chrUn_NT_469366v1
AADN04008502.1	chrUn_NT_469367v1
AADN04008505.1	chrUn_NT_469368v1
AADN04008507.1	chrUn_NT_469369v1
AADN04008508.1	chrUn_NT_469370v1
AADN04008591.1	chr1_NT_456559v1_random
AADN04008509.1	chrUn_NT_469371v1
AADN04008510.1	chrUn_NT_469372v1
AADN04008511.1	chrUn_NT_469373v1
AADN04008512.1	chr1_NT_456555v1_random
AADN04008513.1	chrUn_NT_469374v1
AADN04008522.1	chrUn_NT_469380v1
AADN04008631.1	chr3_NT_459171v1_random
AADN04008521.1	chrUn_NT_469379v1
AADN04008515.1	chrUn_NT_469375v1
AADN04008516.1	chrUn_NT_469376v1
AADN04008517.1	chrUn_NT_469377v1
AADN04008704.1	chr11_NT_461921v1_random
AADN04008520.1	chr17_NT_462589v1_random
AADN04008726.1	chr2_NT_458158v1_random
AADN04008519.1	chrUn_NT_469378v1
AADN04008524.1	chrZ_NT_463932v1_random
AADN04008523.1	chrUn_NT_469381v1
AADN04008528.1	chrUn_NT_469383v1
AADN04008526.1	chrUn_NT_469382v1
AADN04008531.1	chrUn_NT_469385v1
AADN04008532.1	chrUn_NT_469386v1
AADN04008533.1	chrUn_NT_469387v1
AADN04008530.1	chrUn_NT_469384v1
AADN04008619.1	chr1_NT_456562v1_random
AADN04008537.1	chrUn_NT_469388v1
AADN04008538.1	chrUn_NT_469389v1
AADN04008647.1	chr4_NT_459930v1_random
AADN04008540.1	chrUn_NT_469391v1
AADN04008592.1	chr2_NT_458149v1_random
AADN04008539.1	chrUn_NT_469390v1
AADN04008542.1	chrUn_NT_469392v1
AADN04008544.1	chrUn_NT_469393v1
AADN04008548.1	chrUn_NT_469396v1
AADN04008545.1	chrUn_NT_469394v1
AADN04008546.1	chrUn_NT_469395v1
AADN04008558.1	chrUn_NT_469403v1
AADN04008642.1	chr2_NT_458151v1_random
AADN04008550.1	chrUn_NT_469397v1
AADN04008551.1	chrUn_NT_469398v1
AADN04008589.1	chr2_NT_458148v1_random
AADN04008552.1	chrZ_NT_463933v1_random
AADN04008553.1	chrUn_NT_469399v1
AADN04008554.1	chrUn_NT_469400v1
AADN04008555.1	chrUn_NT_469401v1
AADN04008556.1	chrUn_NT_469402v1
AADN04008624.1	chr1_NT_456563v1_random
AADN04008658.1	chr14_NT_462380v1_random
AADN04008576.1	chr3_NT_459169v1_random
AADN04008635.1	chr5_NT_460513v1_random
AADN04008746.1	chr7_NT_461121v1_random
AADN04008560.1	chrUn_NT_469404v1
AADN04008623.1	chr17_NT_462590v1_random
AADN04008563.1	chrUn_NT_469405v1
AADN04008562.1	chr13_NT_462239v1_random
AADN04008570.1	chrUn_NT_469406v1
AADN04008571.1	chrUn_NT_469407v1
AADN04008572.1	chrUn_NT_469408v1
AADN04008574.1	chr2_NT_458146v1_random
AADN04008630.1	chr3_NT_459170v1_random
AADN04008685.1	chr1_NT_456570v1_random
AADN04008573.1	chrUn_NT_469409v1
AADN04008785.1	chr1_NT_456576v1_random
AADN04008579.1	chrUn_NT_469411v1
AADN04008580.1	chrUn_NT_469412v1
AADN04008581.1	chrUn_NT_469413v1
AADN04008583.1	chrUn_NT_469415v1
AADN04008664.1	chr10_NT_461756v1_random
AADN04008588.1	chr2_NT_458147v1_random
AADN04008578.1	chrUn_NT_469410v1
AADN04008699.1	chr1_NT_456571v1_random
AADN04008584.1	chrUn_NT_469416v1
AADN04008585.1	chrUn_NT_469417v1
AADN04008586.1	chrUn_NT_469418v1
AADN04008582.1	chrUn_NT_469414v1
AADN04008587.1	chrUn_NT_469419v1
AADN04008590.1	chrUn_NT_469420v1
AADN04008672.1	chr3_NT_459172v1_random
AADN04008594.1	chrUn_NT_469422v1
AADN04008595.1	chrUn_NT_469423v1
AADN04008709.1	chr1_NT_456572v1_random
AADN04008741.1	chrW_NT_463523v1_random
AADN04008593.1	chrUn_NT_469421v1
AADN04008601.1	chrUn_NT_469427v1
AADN04008597.1	chrUn_NT_469425v1
AADN04008638.1	chr1_NT_456565v1_random
AADN04008596.1	chrUn_NT_469424v1
AADN04008598.1	chrUn_NT_469426v1
AADN04008600.1	chr1_NT_456560v1_random
AADN04008657.1	chr1_NT_456568v1_random
AADN04008602.1	chrUn_NT_469428v1
AADN04008603.1	chrUn_NT_469429v1
AADN04008605.1	chrUn_NT_469431v1
AADN04008634.1	chr1_NT_456564v1_random
AADN04008604.1	chrUn_NT_469430v1
AADN04008606.1	chrUn_NT_469432v1
AADN04008607.1	chr22_NT_463026v1_random
AADN04008608.1	chrUn_NT_469433v1
AADN04008609.1	chrUn_NT_469434v1
AADN04008611.1	chrUn_NT_469435v1
AADN04008613.1	chrZ_NT_463934v1_random
AADN04008612.1	chrUn_NT_469436v1
AADN04008614.1	chrZ_NT_463935v1_random
AADN04008616.1	chrUn_NT_469437v1
AADN04008618.1	chrUn_NT_469439v1
AADN04008621.1	chrUn_NT_469441v1
AADN04008617.1	chrUn_NT_469438v1
AADN04008620.1	chrUn_NT_469440v1
AADN04008622.1	chrUn_NT_469442v1
AADN04008665.1	chr2_NT_458152v1_random
AADN04008686.1	chr3_NT_459173v1_random
AADN04008663.1	chr6_NT_460897v1_random
AADN04008781.1	chr2_NT_458161v1_random
AADN04008615.1	chr22_NT_463027v1_random
AADN04008626.1	chrUn_NT_469444v1
AADN04008625.1	chrUn_NT_469443v1
AADN04008783.1	chr2_NT_458162v1_random
AADN04008628.1	chrUn_NT_469445v1
AADN04008629.1	chrUn_NT_469446v1
AADN04008784.1	chr2_NT_458163v1_random
AADN04008707.1	chr6_NT_460899v1_random
AADN04008880.1	chr3_NT_459176v1_random
AADN04008632.1	chrUn_NT_469447v1
AADN04008633.1	chrUn_NT_469448v1
AADN04008669.1	chr7_NT_461120v1_random
AADN04008636.1	chrUn_NT_469449v1
AADN04008641.1	chrUn_NT_469451v1
AADN04008691.1	chr2_NT_458154v1_random
AADN04008639.1	chrUn_NT_469450v1
AADN04008643.1	chrUn_NT_469452v1
AADN04008769.1	chr4_NT_459932v1_random
AADN04008678.1	chr8_NT_461400v1_random
AADN04008645.1	chrUn_NT_469454v1
AADN04008644.1	chrUn_NT_469453v1
AADN04008646.1	chrUn_NT_469455v1
AADN04008674.1	chr2_NT_458153v1_random
AADN04008649.1	chrUn_NT_469457v1
AADN04008648.1	chrUn_NT_469456v1
AADN04008735.1	chr3_NT_459175v1_random
AADN04008896.1	chr23_NT_463097v1_random
AADN04008654.1	chrUn_NT_469460v1
AADN04008838.1	chr1_NT_456584v1_random
AADN04008650.1	chrUn_NT_469458v1
AADN04008651.1	chrUn_NT_469459v1
AADN04008652.1	chrZ_NT_463937v1_random
AADN04008653.1	chr1_NT_456566v1_random
AADN04008637.1	chr28_NT_463382v1_random
AADN04008655.1	chr1_NT_456567v1_random
AADN04008857.1	chr5_NT_460514v1_random
AADN04003321.1	chrZ_NT_463758v1_random
AADN04008696.1	chr3_NT_459174v1_random
AADN04008797.1	chr2_NT_458164v1_random
AADN04008825.1	chr2_NT_458166v1_random
AADN04008656.1	chrUn_NT_469461v1
AADN04008698.1	chr6_NT_460898v1_random
KQ759663.1	chrUn_NT_469462v1
AADN04008661.1	chrUn_NT_469463v1
AADN04008733.1	chr2_NT_458159v1_random
AADN04008801.1	chr1_NT_456580v1_random
AADN04008662.1	chrUn_NT_469464v1
AADN04008666.1	chrUn_NT_469465v1
AADN04008673.1	chrUn_NT_469469v1
AADN04008762.1	chr1_NT_456574v1_random
AADN04008667.1	chrUn_NT_469466v1
AADN04008668.1	chrUn_NT_469467v1
KQ759664.1	chrUn_NT_469468v1
AADN04008771.1	chr1_NT_456575v1_random
AADN04008676.1	chrUn_NT_469470v1
AADN04008679.1	chr1_NT_456569v1_random
AADN04008677.1	chrUn_NT_469471v1
AADN04008680.1	chrUn_NT_469472v1
AADN04008681.1	chrUn_NT_469473v1
AADN04008683.1	chrUn_NT_469475v1
AADN04008682.1	chrUn_NT_469474v1
AADN04008687.1	chrUn_NT_469476v1
AADN04008688.1	chrUn_NT_469477v1
AADN04008693.1	chr2_NT_458155v1_random
AADN04008690.1	chrUn_NT_469478v1
AADN04008708.1	chrUn_NT_469486v1
AADN04008689.1	chr17_NT_462591v1_random
AADN04008862.1	chr14_NT_462383v1_random
AADN04008692.1	chrUn_NT_469479v1
AADN04008694.1	chrUn_NT_469480v1
AADN04008695.1	chr17_NT_462592v1_random
AADN04008697.1	chrUn_NT_469481v1
AADN04008892.1	chr1_NT_456586v1_random
AADN04008716.1	chr2_NT_458157v1_random
KQ759385.1	chr2_NT_458156v1_random
AADN04008703.1	chrUn_NT_469483v1
AADN04008702.1	chrUn_NT_469482v1
AADN04008731.1	chr12_NT_462079v1_random
AADN04008706.1	chrUn_NT_469485v1
AADN04008760.1	chr28_NT_463383v1_random
AADN04008720.1	chrUn_NT_469496v1
AADN04008710.1	chrUn_NT_469487v1
AADN04008711.1	chrUn_NT_469488v1
AADN04008732.1	chr25_NT_463222v1_random
AADN04008712.1	chrUn_NT_469489v1
AADN04008713.1	chrUn_NT_469490v1
KQ759665.1	chrUn_NT_469503v1
AADN04008727.1	chrUn_NT_469502v1
AADN04008750.1	chr1_NT_456573v1_random
AADN04008714.1	chrUn_NT_469491v1
AADN04008705.1	chrUn_NT_469484v1
AADN04008717.1	chrUn_NT_469493v1
AADN04008715.1	chrUn_NT_469492v1
AADN04008718.1	chrUn_NT_469494v1
AADN04008719.1	chrUn_NT_469495v1
AADN04008721.1	chrUn_NT_469497v1
AADN04008725.1	chrUn_NT_469501v1
AADN04008723.1	chrUn_NT_469499v1
AADN04008724.1	chrUn_NT_469500v1
AADN04008842.1	chr14_NT_462382v1_random
AADN04008722.1	chrUn_NT_469498v1
AADN04008728.1	chr17_NT_462593v1_random
AADN04008640.1	chr12_NT_462078v1_random
AADN04008768.1	chr6_NT_460900v1_random
AADN04008734.1	chrUn_NT_469504v1
AADN04008736.1	chr2_NT_458160v1_random
AADN04008808.1	chr13_NT_462240v1_random
AADN04008737.1	chrUn_NT_469505v1
AADN04008738.1	chrUn_NT_469506v1
AADN04008740.1	chrUn_NT_469508v1
KQ759666.1	chrUn_NT_469520v1
AADN04008739.1	chrUn_NT_469507v1
AADN04008813.1	chr1_NT_456583v1_random
AADN04008829.1	chr7_NT_461122v1_random
AADN04008742.1	chrUn_NT_469509v1
AADN04008743.1	chrUn_NT_469510v1
AADN04008883.1	chr5_NT_460516v1_random
AADN04008744.1	chrUn_NT_469511v1
AADN04008745.1	chrUn_NT_469512v1
AADN04008819.1	chr4_NT_459933v1_random
AADN04008824.1	chr4_NT_459934v1_random
AADN04008867.1	chr5_NT_460515v1_random
AADN04008748.1	chr11_NT_461922v1_random
AADN04008751.1	chrUn_NT_469515v1
AADN04008749.1	chrUn_NT_469514v1
AADN04008752.1	chrUn_NT_469516v1
AADN04008796.1	chr1_NT_456578v1_random
AADN04008753.1	chrUn_NT_469517v1
AADN04008754.1	chrUn_NT_469518v1
AADN04008747.1	chrUn_NT_469513v1
AADN04008766.1	chrUn_NT_469525v1
AADN04008755.1	chrUn_NT_469519v1
AADN04008773.1	chrUn_NT_469529v1
AADN04008767.1	chrUn_NT_469526v1
AADN04008798.1	chr1_NT_456579v1_random
AADN04008763.1	chrUn_NT_469522v1
AADN04008761.1	chrUn_NT_469521v1
AADN04008764.1	chrUn_NT_469523v1
AADN04008765.1	chrUn_NT_469524v1
AADN04008759.1	chr4_NT_459931v1_random
AADN04008770.1	chrUn_NT_469527v1
AADN04008890.1	chr7_NT_461123v1_random
AADN04008772.1	chrUn_NT_469528v1
AADN04008868.1	chr1_NT_456585v1_random
AADN04008774.1	chrUn_NT_469530v1
AADN04008791.1	chrUn_NT_469542v1
AADN04008812.1	chr1_NT_456582v1_random
AADN04008775.1	chrUn_NT_469531v1
AADN04008897.1	chr2_NT_458171v1_random
AADN04008777.1	chrUn_NT_469533v1
AADN04008846.1	chr2_NT_458168v1_random
AADN04009006.1	chr1_NT_456596v1_random
AADN04008776.1	chrUn_NT_469532v1
AADN04008778.1	chrUn_NT_469534v1
AADN04008779.1	chrUn_NT_469535v1
AADN04008780.1	chrUn_NT_469536v1
AADN04008922.1	chr1_NT_456589v1_random
AADN04008782.1	chrUn_NT_469537v1
AADN04008989.1	chr2_NT_458173v1_random
AADN04008786.1	chrUn_NT_469538v1
AADN04008788.1	chrUn_NT_469539v1
AADN04008787.1	chr1_NT_456577v1_random
AADN04008789.1	chrUn_NT_469540v1
AADN04008790.1	chrUn_NT_469541v1
AADN04008792.1	chrUn_NT_469543v1
AADN04008793.1	chrUn_NT_469544v1
KQ759503.1	chrW_NT_463572v1_random
AADN04008800.1	chrUn_NT_469548v1
AADN04008894.1	chr1_NT_456587v1_random
AADN04008794.1	chrUn_NT_469545v1
AADN04008795.1	chrUn_NT_469546v1
AADN04008799.1	chrUn_NT_469547v1
AADN04006696.1	chrZ_NT_463885v1_random
AADN04008803.1	chrUn_NT_469549v1
AADN04008841.1	chr6_NT_460901v1_random
AADN04008804.1	chrUn_NT_469550v1
AADN04008805.1	chrUn_NT_469551v1
AADN04008920.1	chr4_NT_459935v1_random
AADN04008806.1	chrUn_NT_469552v1
AADN04008807.1	chrUn_NT_469553v1
AADN04008802.1	chr2_NT_458165v1_random
AADN04008809.1	chr1_NT_456581v1_random
AADN04002769.1	chrZ_NT_463723v1_random
AADN04008928.1	chr13_NT_462242v1_random
AADN04009032.1	chr1_NT_456600v1_random
AADN04008811.1	chrUn_NT_469554v1
AADN04008810.1	chr14_NT_462381v1_random
AADN04008814.1	chrUn_NT_469555v1
AADN04008926.1	chr10_NT_461757v1_random
AADN04008815.1	chrUn_NT_469556v1
AADN04008816.1	chrUn_NT_469557v1
AADN04008817.1	chrUn_NT_469558v1
AADN04008818.1	chrUn_NT_469559v1
AADN04008820.1	chrUn_NT_469560v1
AADN04008821.1	chrUn_NT_469561v1
AADN04008822.1	chrUn_NT_469562v1
AADN04008823.1	chrUn_NT_469563v1
AADN04008833.1	chr2_NT_458167v1_random
AADN04008827.1	chrUn_NT_469564v1
AADN04008828.1	chrUn_NT_469565v1
AADN04008930.1	chr5_NT_460518v1_random
AADN04008830.1	chrUn_NT_469566v1
AADN04008831.1	chrUn_NT_469567v1
AADN04008832.1	chrUn_NT_469568v1
AADN04008834.1	chrUn_NT_469569v1
AADN04009045.1	chr1_NT_456602v1_random
AADN04008836.1	chrUn_NT_469571v1
AADN04008837.1	chrUn_NT_469572v1
AADN04008950.1	chr3_NT_459179v1_random
AADN04008835.1	chrUn_NT_469570v1
AADN04008839.1	chrUn_NT_469573v1
AADN04008982.1	chr1_NT_456594v1_random
AADN04008840.1	chrUn_NT_469574v1
AADN04008947.1	chr1_NT_456590v1_random
AADN04009009.1	chr1_NT_456597v1_random
AADN04001145.1	chrZ_NT_463621v1_random
AADN04024151.1	chr20_NT_462949v1_random
AADN04008843.1	chrUn_NT_469575v1
AADN04008845.1	chrUn_NT_469577v1
AADN04008863.1	chrUn_NT_469590v1
AADN04008886.1	chr5_NT_460517v1_random
AADN04008844.1	chrUn_NT_469576v1
AADN04008848.1	chrUn_NT_469579v1
AADN04008847.1	chrUn_NT_469578v1
AADN04008850.1	chrUn_NT_469581v1
AADN04008849.1	chrUn_NT_469580v1
AADN04009097.1	chr5_NT_460519v1_random
AADN04009015.1	chr4_NT_459939v1_random
AADN04008851.1	chrUn_NT_469582v1
AADN04008965.1	chr21_NT_462956v1_random
AADN04008852.1	chrUn_NT_469583v1
AADN04008854.1	chrUn_NT_469584v1
AADN04008855.1	chrUn_NT_469585v1
AADN04008856.1	chrUn_NT_469586v1
AADN04008858.1	chrUn_NT_469587v1
AADN04008859.1	chrUn_NT_469588v1
AADN04008864.1	chr22_NT_463028v1_random
AADN04008860.1	chr13_NT_462241v1_random
AADN04008861.1	chrUn_NT_469589v1
AADN04008912.1	chr11_NT_461923v1_random
AADN04008865.1	chrUn_NT_469591v1
AADN04008940.1	chr8_NT_461401v1_random
AADN04008866.1	chrUn_NT_469592v1
AADN04008872.1	chrUn_NT_469596v1
AADN04009023.1	chr6_NT_460902v1_random
AADN04008869.1	chrUn_NT_469593v1
AADN04008875.1	chr2_NT_458170v1_random
AADN04008870.1	chrUn_NT_469594v1
AADN04008871.1	chrUn_NT_469595v1
AADN04008916.1	chr1_NT_456588v1_random
AADN04008944.1	chr3_NT_459178v1_random
AADN04008873.1	chrUn_NT_469597v1
AADN04008874.1	chrUn_NT_469598v1
AADN04008905.1	chr3_NT_459177v1_random
AADN04009195.1	chr2_NT_458184v1_random
AADN04008878.1	chrUn_NT_469601v1
AADN04008876.1	chrUn_NT_469599v1
AADN04008877.1	chrUn_NT_469600v1
AADN04008879.1	chrUn_NT_469602v1
AADN04008881.1	chrUn_NT_469603v1
AADN04008882.1	chrUn_NT_469604v1
AADN04009016.1	chr1_NT_456598v1_random
AADN04008972.1	chr7_NT_461124v1_random
AADN04008885.1	chrUn_NT_469606v1
AADN04008884.1	chrUn_NT_469605v1
AADN04008888.1	chr20_NT_462859v1_random
AADN04008887.1	chrUn_NT_469607v1
AADN04008942.1	chr15_NT_462482v1_random
AADN04008889.1	chrUn_NT_469608v1
AADN04008891.1	chrUn_NT_469609v1
AADN04008893.1	chrUn_NT_469610v1
AADN04009131.1	chr4_NT_459942v1_random
AADN04008895.1	chrUn_NT_469611v1
KQ759452.1	chr12_NT_462080v1_random
AADN04008898.1	chrUn_NT_469612v1
AADN04008899.1	chrUn_NT_469613v1
AADN04008908.1	chrUn_NT_469621v1
AADN04008900.1	chrUn_NT_469614v1
AADN04008907.1	chrUn_NT_469620v1
AADN04008901.1	chrUn_NT_469615v1
AADN04008903.1	chrUn_NT_469617v1
AADN04008904.1	chrUn_NT_469618v1
AADN04008902.1	chrUn_NT_469616v1
AADN04008906.1	chrUn_NT_469619v1
AADN04008955.1	chr3_NT_459180v1_random
KQ759386.1	chr2_NT_458172v1_random
AADN04008911.1	chrUn_NT_469622v1
AADN04008913.1	chrUn_NT_469623v1
AADN04008970.1	chr19_NT_462740v1_random
AADN04008919.1	chrUn_NT_469626v1
AADN04008938.1	chr23_NT_463098v1_random
AADN04008917.1	chrUn_NT_469624v1
AADN04008918.1	chrUn_NT_469625v1
AADN04008921.1	chrUn_NT_469627v1
AADN04008923.1	chrUn_NT_469628v1
AADN04008924.1	chrUn_NT_469629v1
AADN04008925.1	chrUn_NT_469630v1
AADN04008927.1	chrUn_NT_469631v1
AADN04009030.1	chr8_NT_461403v1_random
AADN04009055.1	chr7_NT_461125v1_random
AADN04008936.1	chrUn_NT_469637v1
AADN04009079.1	chr3_NT_459181v1_random
AADN04008998.1	chr4_NT_459937v1_random
AADN04008931.1	chrUn_NT_469633v1
AADN04009020.1	chr2_NT_458174v1_random
AADN04008933.1	chrUn_NT_469634v1
AADN04008935.1	chrUn_NT_469636v1
AADN04008929.1	chrUn_NT_469632v1
AADN04008937.1	chrUn_NT_469638v1
AADN04008951.1	chrUn_NT_469645v1
AADN04008941.1	chrUn_NT_469640v1
AADN04008939.1	chrUn_NT_469639v1
AADN04008983.1	chr4_NT_459936v1_random
AADN04009001.1	chr4_NT_459938v1_random
AADN04008981.1	chr24_NT_463155v1_random
AADN04008948.1	chr20_NT_462860v1_random
AADN04008960.1	chrUn_NT_469652v1
AADN04009002.1	chr11_NT_461924v1_random
AADN04008943.1	chrUn_NT_469641v1
AADN04008945.1	chrUn_NT_469642v1
AADN04008999.1	chr15_NT_462483v1_random
AADN04008946.1	chrUn_NT_469643v1
AADN04009298.1	chr4_NT_459949v1_random
AADN04008949.1	chrUn_NT_469644v1
AADN04008853.1	chr2_NT_458169v1_random
AADN04008952.1	chrUn_NT_469646v1
AADN04008956.1	chrUn_NT_469648v1
AADN04008954.1	chrUn_NT_469647v1
AADN04008958.1	chrUn_NT_469650v1
AADN04008957.1	chrUn_NT_469649v1
AADN04008953.1	chr1_NT_456591v1_random
AADN04008959.1	chrUn_NT_469651v1
AADN04008961.1	chr1_NT_456592v1_random
AADN04008966.1	chrUn_NT_469655v1
AADN04008963.1	chrUn_NT_469653v1
AADN04008988.1	chr1_NT_456595v1_random
AADN04008964.1	chrUn_NT_469654v1
AADN04008973.1	chrUn_NT_469660v1
AADN04008967.1	chrUn_NT_469656v1
AADN04009102.1	chr5_NT_460520v1_random
AADN04008968.1	chrUn_NT_469657v1
AADN04009039.1	chr13_NT_462243v1_random
AADN04009110.1	chr2_NT_458178v1_random
AADN04008971.1	chrUn_NT_469659v1
AADN04008969.1	chrUn_NT_469658v1
AADN04008974.1	chrUn_NT_469661v1
AADN04008975.1	chrUn_NT_469662v1
AADN04008976.1	chrUn_NT_469663v1
AADN04009183.1	chr1_NT_456608v1_random
AADN04008977.1	chrUn_NT_469664v1
KQ759667.1	chrUn_NT_469687v1
AADN04008978.1	chr1_NT_456593v1_random
AADN04008979.1	chr27_NT_463334v1_random
AADN04009013.1	chr8_NT_461402v1_random
AADN04008934.1	chrUn_NT_469635v1
AADN04008980.1	chrUn_NT_469665v1
AADN04008986.1	chrUn_NT_469668v1
AADN04008984.1	chrUn_NT_469666v1
AADN04008985.1	chrUn_NT_469667v1
AADN04009109.1	chr5_NT_460522v1_random
AADN04008987.1	chrUn_NT_469669v1
AADN04009024.1	chr1_NT_456599v1_random
AADN04008991.1	chrUn_NT_469671v1
AADN04008990.1	chrUn_NT_469670v1
AADN04008992.1	chrUn_NT_469672v1
AADN04008996.1	chrUn_NT_469676v1
AADN04009019.1	chrUn_NT_469688v1
AADN04008994.1	chrUn_NT_469674v1
AADN04009004.1	chrUn_NT_469680v1
AADN04008995.1	chrUn_NT_469675v1
AADN04009005.1	chrUn_NT_469681v1
AADN04009050.1	chr2_NT_458176v1_random
AADN04008997.1	chrUn_NT_469677v1
AADN04009035.1	chr8_NT_461404v1_random
AADN04008993.1	chrUn_NT_469673v1
AADN04009026.1	chrUn_NT_469691v1
AADN04009000.1	chrUn_NT_469678v1
AADN04009003.1	chrUn_NT_469679v1
AADN04009007.1	chrUn_NT_469682v1
AADN04009008.1	chrUn_NT_469683v1
AADN04009012.1	chrUn_NT_469685v1
AADN04009140.1	chr4_NT_459943v1_random
AADN04009011.1	chrUn_NT_469684v1
AADN04009046.1	chr2_NT_458175v1_random
AADN04009010.1	chrZ_NT_463944v1_random
AADN04009014.1	chrUn_NT_469686v1
AADN04009036.1	chr1_NT_456601v1_random
AADN04009021.1	chrUn_NT_469689v1
AADN04009022.1	chrZ_NT_463945v1_random
AADN04009025.1	chrUn_NT_469690v1
AADN04009149.1	chr2_NT_458181v1_random
AADN04009027.1	chrUn_NT_469692v1
AADN04009028.1	chrUn_NT_469693v1
AADN04009107.1	chr5_NT_460521v1_random
AADN04009128.1	chr4_NT_459941v1_random
AADN04009125.1	chr8_NT_461405v1_random
AADN04009031.1	chrUn_NT_469694v1
AADN04009033.1	chrUn_NT_469695v1
AADN04009034.1	chrZ_NT_463947v1_random
AADN04009037.1	chrUn_NT_469696v1
AADN04009038.1	chrUn_NT_469697v1
AADN04009040.1	chrUn_NT_469698v1
AADN04009245.1	chr2_NT_458189v1_random
AADN04009152.1	chrW_NT_463524v1_random
AADN04009041.1	chrUn_NT_469699v1
